iter	Logloss
0	0.691465698
1	0.6894493734
2	0.6877069135
3	0.6861407774
4	0.6844821506
5	0.6829577868
6	0.6811042227
7	0.6789192939
8	0.6769031858
9	0.6749699009
10	0.6731662615
11	0.6714597301
12	0.6697118592
13	0.6684428907
14	0.6674628652
15	0.6660366194
16	0.6647043792
17	0.6630684783
18	0.6614229099
19	0.6597242423
20	0.6579787523
21	0.6568364714
22	0.6557705205
23	0.6543129635
24	0.652873515
25	0.6516745276
26	0.6509514847
27	0.6495934885
28	0.6486125252
29	0.6475173553
30	0.6462558178
31	0.6447525926
32	0.6435325388
33	0.6422046995
34	0.641031901
35	0.6399647237
36	0.6390573488
37	0.6377504317
38	0.6366648573
39	0.6352518862
40	0.6340979899
41	0.633198046
42	0.6315288138
43	0.6303014011
44	0.6291352401
45	0.6277794804
46	0.6264203299
47	0.6252769669
48	0.6244195889
49	0.6231943406
50	0.6221699455
51	0.6210135241
52	0.6201715853
53	0.6193424883
54	0.6182925538
55	0.617442751
56	0.6164995919
57	0.6150957112
58	0.6143256293
59	0.6132897632
60	0.6129151112
61	0.6118339376
62	0.6107651731
63	0.6098468321
64	0.6088514396
65	0.6081180077
66	0.6075738136
67	0.6067489011
68	0.6062503752
69	0.6056768178
70	0.6047949464
71	0.604070172
72	0.6034437319
73	0.6028006624
74	0.6019082937
75	0.6007802977
76	0.5996918013
77	0.5992801387
78	0.5985568432
79	0.5976762343
80	0.5966471498
81	0.5960727268
82	0.59487695
83	0.593612743
84	0.5931492799
85	0.5921695069
86	0.5912634667
87	0.590439456
88	0.5898261465
89	0.5889797707
90	0.5879102847
91	0.5870657125
92	0.5864635855
93	0.5857083657
94	0.5850665947
95	0.5842790175
96	0.5837269596
97	0.5829516111
98	0.5823269026
99	0.581299766
100	0.5803936897
101	0.5795485043
102	0.5787836891
103	0.577925301
104	0.577112509
105	0.5763756141
106	0.5753436077
107	0.5744132545
108	0.5739584488
109	0.5730290695
110	0.5722875212
111	0.5718092682
112	0.5712802247
113	0.5709346834
114	0.5702309034
115	0.5691297454
116	0.5685986819
117	0.5679491192
118	0.5670635683
119	0.5663121722
120	0.5654231583
121	0.5647044802
122	0.5642068922
123	0.5636123405
124	0.5630540419
125	0.5623886072
126	0.5617249401
127	0.5612013797
128	0.560753536
129	0.5595965735
130	0.5588923966
131	0.558781076
132	0.5579744163
133	0.5571851437
134	0.5566030732
135	0.5561806248
136	0.5557172699
137	0.555145408
138	0.5547545232
139	0.5543625563
140	0.5539906459
141	0.5535855124
142	0.5529398456
143	0.5525214013
144	0.5518922558
145	0.5516290326
146	0.5509278498
147	0.5505014695
148	0.5497567468
149	0.5493051876
150	0.5486804069
151	0.5482637302
152	0.5476235825
153	0.5470215277
154	0.5463904703
155	0.5458809422
156	0.5451281392
157	0.5448223863
158	0.5444133208
159	0.5440209211
160	0.5436194309
161	0.5431753028
162	0.5427502932
163	0.5421890006
164	0.5416660534
165	0.5413270053
166	0.5410147232
167	0.5401896303
168	0.539646302
169	0.5391419323
170	0.5384043881
171	0.5380025372
172	0.5376146826
173	0.5371194393
174	0.5365079695
175	0.5360756732
176	0.5355623574
177	0.535008568
178	0.5346746061
179	0.5341557352
180	0.5337680249
181	0.5332446448
182	0.5324806231
183	0.5321185245
184	0.5312948024
185	0.5310568663
186	0.5305088124
187	0.530083875
188	0.5295251436
189	0.5291747325
190	0.5286791646
191	0.5279644905
192	0.5275918226
193	0.5270424701
194	0.5267531663
195	0.5256911835
196	0.5252826591
197	0.5249334746
198	0.5246013524
199	0.5242347086
200	0.5237871896
201	0.5233188927
202	0.5229047049
203	0.5222526532
204	0.5216689955
205	0.5211791992
206	0.5204569859
207	0.520115052
208	0.5196014476
209	0.5190412373
210	0.5188197864
211	0.5184440523
212	0.5182325575
213	0.5178418892
214	0.517624226
215	0.517361039
216	0.5167070033
217	0.5162168101
218	0.5155604297
219	0.5151962388
220	0.5148047048
221	0.5143535064
222	0.513735291
223	0.5133357488
224	0.5129065547
225	0.5125109084
226	0.512059205
227	0.5117279125
228	0.5113495811
229	0.510824722
230	0.5103645776
231	0.509810716
232	0.5094196148
233	0.5091715062
234	0.5087557312
235	0.5083094026
236	0.5078733909
237	0.5074173587
238	0.5068898663
239	0.5064468564
240	0.5060731784
241	0.5057331563
242	0.5053614262
243	0.5051762286
244	0.5049279396
245	0.5045233111
246	0.5041046864
247	0.503674302
248	0.5030371844
249	0.5026027598
250	0.5023562745
251	0.5018838652
252	0.501391616
253	0.5009088178
254	0.5005987001
255	0.5001488363
256	0.4998086699
257	0.4996059409
258	0.4993972237
259	0.499018243
260	0.4986904135
261	0.4980951765
262	0.4977026685
263	0.4974824802
264	0.4971065296
265	0.4968243682
266	0.4965717144
267	0.4961548934
268	0.4957791953
269	0.4953751801
270	0.4949007508
271	0.4944336803
272	0.4939883978
273	0.4935963588
274	0.4933461219
275	0.4930476917
276	0.492596854
277	0.4921033422
278	0.4916589254
279	0.491065492
280	0.4905051734
281	0.4899561817
282	0.4895082298
283	0.4892315515
284	0.4887227088
285	0.4882716907
286	0.488068132
287	0.487652321
288	0.4872809155
289	0.4868084702
290	0.486482264
291	0.4861621902
292	0.4857952217
293	0.4854121287
294	0.4850231558
295	0.4845617488
296	0.4842480959
297	0.4839213126
298	0.4836410631
299	0.4832625874
