iter	Passed	Remaining
0	31	9330
1	43	6469
2	51	5089
3	57	4258
4	68	4019
5	73	3593
6	78	3275
7	83	3065
8	89	2886
9	97	2824
10	103	2730
11	109	2627
12	114	2537
13	120	2455
14	127	2424
15	135	2397
16	140	2331
17	144	2269
18	151	2239
19	156	2192
20	165	2201
21	170	2156
22	175	2116
23	181	2092
24	186	2054
25	196	2070
26	202	2045
27	207	2019
28	214	2002
29	219	1974
30	228	1986
31	234	1963
32	239	1940
33	246	1927
34	251	1903
35	262	1921
36	267	1902
37	272	1880
38	279	1869
39	285	1852
40	295	1865
41	302	1861
42	310	1856
43	317	1847
44	328	1861
45	335	1853
46	345	1858
47	354	1862
48	367	1884
49	377	1886
50	385	1883
51	400	1908
52	409	1908
53	418	1905
54	429	1914
55	436	1900
56	443	1892
57	453	1891
58	459	1878
59	465	1860
60	467	1833
61	474	1822
62	482	1814
63	493	1818
64	500	1810
65	510	1810
66	522	1818
67	530	1808
68	538	1804
69	547	1797
70	555	1792
71	561	1777
72	569	1770
73	575	1756
74	585	1755
75	591	1742
76	597	1731
77	605	1723
78	616	1725
79	623	1714
80	629	1702
81	637	1693
82	650	1700
83	657	1690
84	664	1681
85	674	1677
86	684	1676
87	691	1664
88	698	1656
89	706	1648
90	718	1650
91	725	1640
92	734	1633
93	742	1627
94	751	1620
95	757	1609
96	764	1600
97	770	1587
98	780	1585
99	786	1572
100	792	1562
101	800	1553
102	810	1550
103	817	1541
104	825	1532
105	832	1522
106	840	1516
107	848	1508
108	854	1497
109	861	1488
110	868	1478
111	879	1476
112	885	1465
113	892	1455
114	898	1445
115	907	1438
116	914	1429
117	920	1420
118	929	1413
119	941	1412
120	949	1403
121	955	1394
122	962	1384
123	972	1380
124	979	1371
125	985	1361
126	993	1352
127	1002	1346
128	1010	1339
129	1016	1329
130	1023	1320
131	1026	1306
132	1040	1305
133	1049	1300
134	1061	1297
135	1071	1292
136	1085	1291
137	1096	1287
138	1107	1283
139	1119	1279
140	1132	1277
141	1142	1271
142	1152	1265
143	1162	1259
144	1172	1253
145	1182	1247
146	1190	1239
147	1201	1234
148	1213	1230
149	1222	1222
150	1235	1218
151	1243	1211
152	1255	1206
153	1269	1203
154	1276	1194
155	1286	1187
156	1297	1181
157	1307	1175
158	1319	1170
159	1338	1170
160	1349	1165
161	1362	1160
162	1369	1151
163	1378	1143
164	1387	1135
165	1397	1128
166	1404	1118
167	1412	1109
168	1421	1101
169	1428	1092
170	1435	1082
171	1442	1073
172	1448	1063
173	1458	1055
174	1464	1045
175	1469	1035
176	1476	1026
177	1482	1016
178	1491	1008
179	1496	997
180	1502	988
181	1508	978
182	1519	971
183	1525	961
184	1532	952
185	1538	943
186	1544	933
187	1555	926
188	1560	916
189	1566	906
190	1573	897
191	1581	889
192	1588	880
193	1594	871
194	1600	861
195	1607	853
196	1619	846
197	1624	836
198	1630	827
199	1637	818
200	1647	811
201	1654	802
202	1660	793
203	1667	784
204	1673	775
205	1683	768
206	1690	759
207	1695	750
208	1702	741
209	1710	733
210	1717	724
211	1723	715
212	1728	706
213	1735	697
214	1744	689
215	1752	681
216	1757	672
217	1763	663
218	1769	654
219	1778	646
220	1785	638
221	1791	629
222	1798	620
223	1803	612
224	1814	604
225	1819	595
226	1825	587
227	1832	578
228	1843	571
229	1849	563
230	1855	554
231	1862	545
232	1867	537
233	1879	529
234	1885	521
235	1890	512
236	1897	504
237	1906	496
238	1913	488
239	1918	479
240	1925	471
241	1930	462
242	1938	454
243	1946	446
244	1951	438
245	1958	429
246	1963	421
247	1971	413
248	1977	405
249	1983	396
250	1990	388
251	1996	380
252	2006	372
253	2011	364
254	2017	355
255	2023	347
256	2029	339
257	2038	331
258	2045	323
259	2050	315
260	2057	307
261	2063	299
262	2073	291
263	2079	283
264	2084	275
265	2091	267
266	2098	259
267	2106	251
268	2111	243
269	2116	235
270	2123	227
271	2132	219
272	2140	211
273	2146	203
274	2153	195
275	2161	187
276	2171	180
277	2177	172
278	2184	164
279	2190	156
280	2200	148
281	2207	140
282	2214	133
283	2220	125
284	2229	117
285	2236	109
286	2242	101
287	2249	93
288	2256	85
289	2266	78
290	2272	70
291	2278	62
292	2285	54
293	2297	46
294	2305	39
295	2311	31
296	2317	23
297	2325	15
298	2333	7
299	2339	0
